eng_TAMsimp,Q,N,?,D
PRES,0.24,26.66,7.24,28.23
PAST,2.14,0.72,12.24,38.73
PRES PART,0.61,2.45,22.14,20.6
PRES ~ PRES PART,0.17,15.64,12.07,90.5
FUT,0.02,131.0,131.0,inf
PAST PROG,6.81,0.23,16.86,inf
PRES PROG,0.01,inf,inf,111.0
PAST ~ PAST PROG,5.06,0.26,50.5,50.5
PAST ~ PRES PART,4.88,0.34,17.8,30.33
PRES ~ PRES PROG,0.02,87.0,87.0,inf
PAST ~ PRES,0.33,7.71,11.2,19.33
FUT ~ PRES,0.1,inf,17.0,26.0
FUT ~ MOD shall,0.16,inf,7.5,50.0
PRES ~ PRES PERF,0.07,inf,23.0,47.0
PRES PERF,0.02,inf,42.0,inf
TO INF,0.23,7.6,13.33,inf
PAST PERF,6.17,0.19,inf,42.0
PAST PROG ~ PRES PART,6.8,0.18,38.0,inf
FUT ~ FUT going-to,0.06,inf,17.0,inf
PAST ~ PRES PERF,0.0,inf,inf,inf
PAST ~ PAST PERF,7.67,0.18,25.0,inf
PRES PART ~ PRES PROG,0.04,24.0,inf,inf
FUT ~ PRES PROG,0.0,inf,inf,inf
FUT ~ PRES PART,0.06,inf,inf,17.0
PAST ~ TO INF,4.33,0.23,inf,inf
FUT ~ TO INF,0.09,inf,11.0,inf
MOD may ~ PRES,0.0,inf,inf,inf
FUT going-to ~ PRES,0.0,inf,inf,inf
MOD could ~ PAST,inf,0.38,2.67,inf
PRES PART ~ TO INF,0.67,1.5,inf,inf
FUT going-to ~ PRES PROG,0.0,inf,inf,inf
PRES ~ TO INF,1.0,9.0,1.5,inf
IMPV ~ PRES,0.0,inf,inf,inf
MOD is to ~ PRES,0.14,inf,7.0,inf
MOD can ~ PRES,0.0,inf,inf,inf
MOD could,0.75,1.33,inf,inf
PRES PART ~ PRES PERF,0.2,inf,5.0,inf
MOD shall ~ PRES,0.0,inf,inf,inf
MOD should,0.25,4.0,inf,inf
IMPV,0.67,4.0,4.0,inf
MOD can,0.0,inf,inf,inf
PAST PERF ~ PAST PROG,4.0,0.25,inf,inf
IMPV ~ MOD may,0.0,inf,inf,inf
FUT going-to ~ MOD shall,0.0,inf,inf,inf
MOD would ~ PRES,0.0,inf,inf,inf
MOD would ~ PAST,inf,0.0,inf,inf
MOD would,1.0,inf,inf,1.0
FUT ~ MOD must,0.0,inf,inf,inf
MOD is to ~ MOD shall,0.33,3.0,inf,inf
PAST PROG ~ PRES,0.33,inf,3.0,inf
PAST ~ PRES PROG,0.0,inf,inf,inf
PAST ~ PAST PERF PROG,inf,0.0,inf,inf
MOD shall ~ TO INF,0.0,inf,inf,inf
PRES PERF PROG,0.0,inf,inf,inf
MOD is to ~ PRES PART,0.0,inf,inf,inf
PRES PERF ~ PRES PROG,0.0,inf,inf,inf
MOD may,0.0,inf,inf,inf
MOD let ~ PRES,0.5,inf,inf,2.0
MOD is to,0.5,2.0,inf,inf
MOD should ~ MOD would,0.5,2.0,inf,inf
PRES PERF PROG ~ PRES PROG,0.0,inf,inf,inf
FUT PROG ~ PRES PART,0.0,inf,inf,inf
MOD should ~ TO INF,0.0,inf,inf,inf
MOD can ~ TO INF,0.0,inf,inf,inf
FUT ~ MOD is to,0.0,inf,inf,inf
MOD was to ~ PAST,inf,0.0,inf,inf
PRES ~ PRES PERF PROG,0.0,inf,inf,inf
MOD can ~ MOD shall,0.0,inf,inf,inf
MOD can ~ PRES PART,0.0,inf,inf,inf
MOD is to ~ TO INF,0.0,inf,inf,inf
MOD let,0.0,inf,inf,inf
PRES ~ PRES PROG keep,0.0,inf,inf,inf
MOD may ~ PAST,0.0,inf,inf,inf
PAST PERF PROG ~ PAST PROG,inf,0.0,inf,inf
MOD was to ~ TO INF,inf,0.0,inf,inf
FUT ~ MOD may,0.0,inf,inf,inf
MOD must ~ MOD shall,0.0,inf,inf,inf
MOD must ~ PRES,0.0,inf,inf,inf
PAST PERF ~ PAST PERF PROG,inf,0.0,inf,inf
PRES PART ~ PRES PERF PROG,0.0,inf,inf,inf
FUT going-to ~ PRES PART,0.0,inf,inf,inf
FUT ~ PAST PROG,0.0,inf,inf,inf
PAST PERF ~ PRES PART,inf,0.0,inf,inf
MOD may ~ TO INF,0.0,inf,inf,inf
MOD was to ~ PAST PROG,inf,0.0,inf,inf
PAST PERF ~ PRES,inf,0.0,inf,inf
FUT ~ FUT PROG,0.0,inf,inf,inf
IMPV ~ PRES PROG,0.0,inf,inf,inf
FUT ~ MOD can,0.0,inf,inf,inf
HAB used to ~ PAST PERF,inf,0.0,inf,inf
FUT PROG ~ MOD is to,0.0,inf,inf,inf
IMPV ~ PAST,inf,inf,0.0,inf
FUT ~ MOD would,0.0,inf,inf,inf
FUT ~ VB,0.0,inf,inf,inf
HAB used to ~ PAST,inf,0.0,inf,inf
FUT ~ PAST,0.0,inf,inf,inf
TO INF ~ VB,inf,0.0,inf,inf
MOD can ~ MOD may,0.0,inf,inf,inf
MOD could ~ PRES PART,inf,0.0,inf,inf
PRES PROG ~ TO INF,0.0,inf,inf,inf
PRES PROG ~ PRES PROG keep,0.0,inf,inf,inf
PRES PERF ~ TO INF,0.0,inf,inf,inf
PRES PERF ~ PRES PERF PROG,0.0,inf,inf,inf
PAST ~ VB,0.0,inf,inf,inf
PAST PROG ~ TO INF,inf,0.0,inf,inf
MOD would ~ PRES PROG,0.0,inf,inf,inf
MOD would ~ PRES PERF,0.0,inf,inf,inf
MOD was to ~ PRES PART,inf,0.0,inf,inf
MOD was to,inf,0.0,inf,inf
MOD that VB ~ PRES PART,inf,0.0,inf,inf
MOD should ~ PRES PERF,0.0,inf,inf,inf
MOD should ~ PRES,0.0,inf,inf,inf
MOD should ~ PAST,inf,0.0,inf,inf
MOD should ~ MOD was to,inf,0.0,inf,inf
