eng_TAMsimp,SBH,LBH
PRES,736,55
FUT,666,92
FUT ~ MOD shall,500,111
IMPV ~ MOD shall,469,7
MOD must ~ MOD shall,302,6
IMPV,207,41
MOD is to ~ MOD shall,223,7
MOD may,211,10
PAST,158,33
MOD shall,174,9
MOD let,114,24
FUT ~ PRES,99,11
MOD shall ~ PRES,91,4
MOD can,70,6
FUT ~ MOD may,60,5
IMPV ~ MOD let,45,17
MOD should,39,14
FUT ~ MOD lest,46,2
MOD would,32,9
PRES ~ PRES PERF,37,2
MOD may ~ MOD shall,38,0
MOD can ~ MOD may,32,5
TO INF,29,6
PRES ~ PRES PART,29,4
MOD may ~ PRES,29,1
MOD may ~ TO INF,23,5
PAST ~ PRES,26,1
MOD shall ~ TO INF,21,6
MOD let ~ MOD may,21,5
PRES ~ TO INF,22,2
IMPV ~ MOD may,23,0
MOD could,20,2
MOD must,21,0
MOD should ~ PRES,17,4
MOD can ~ MOD shall,18,2
PRES PERF,15,5
MOD can ~ PRES,19,1
FUT ~ MOD can,12,6
MOD would ~ PAST,12,5
MOD shall ~ MOD should,13,2
PRES PART,13,2
FUT ~ TO INF,11,4
IMPV ~ PRES,14,1
FUT ~ MOD would,13,1
MOD let ~ TO INF,13,0
MOD lest ~ PRES,11,0
PRES ~ PRES PROG,10,1
PAST ~ PRES PERF,11,0
IMPV ~ MOD must,11,0
MOD may ~ MOD must,9,1
MOD must ~ PRES,9,1
MOD should ~ TO INF,5,5
MOD lest ~ MOD may,10,0
MOD let ~ MOD shall,8,1
MOD is to ~ MOD let,6,3
MOD shall ~ PRES PART,9,0
HAB used to ~ PAST,8,1
PAST ~ PRES PART,6,2
MOD let ~ MOD must,8,0
FUT ~ IMPV,8,0
FUT ~ MOD let,6,1
MOD is to,7,0
MOD should ~ MOD was to,3,4
MOD shall ~ PAST,6,1
PAST ~ TO INF,4,3
PAST ~ PAST PERF,5,1
MOD is to ~ MOD may,5,1
PAST PERF,5,1
MOD let ~ MOD should,5,1
FUT ~ FUT going-to,6,0
MOD would ~ PRES,5,1
FUT ~ PAST,3,2
FUT ~ PRES PART,4,1
MOD lest ~ TO INF,5,0
FUT going-to ~ MOD shall,5,0
MOD lest ~ MOD might,4,0
MOD could ~ MOD might,2,2
MOD was to ~ PAST,4,0
MOD should ~ MOD would,3,1
IMPV ~ PRES PART,4,0
MOD was to,3,1
HAB used to,4,0
PRES PART ~ TO INF,4,0
MOD might,4,0
MOD is to ~ MOD must,4,0
MOD can ~ MOD let,4,0
IMPV ~ TO INF,4,0
FUT ~ PRES PROG,3,0
FUT ~ PRES PERF,3,0
MOD shall ~ MOD would,3,0
MOD lest ~ MOD would,3,0
FUT ~ MOD is to,2,1
IMPV ~ MOD is to,2,1
PAST PROG,2,1
MOD let ~ PRES,2,1
MOD can ~ MOD should,2,1
MOD can ~ MOD could,3,0
FUT ~ MOD that be,3,0
FUT ~ MOD should,3,0
MOD can ~ MOD might,3,0
MOD could ~ PAST,3,0
MOD may ~ PRES PART,2,1
MOD might ~ MOD should,2,1
MOD shall ~ PRES PERF,3,0
PAST ~ PAST PROG,3,0
MOD could ~ MOD would,2,0
MOD could ~ MOD should,1,1
MOD can ~ TO INF,2,0
IMPV ~ MOD can,2,0
?VB ~ PAST,2,0
MOD let ~ PAST,2,0
FUT ~ MOD must,2,0
MOD should ~ PRES PERF,2,0
?VB ~ MOD shall,2,0
MOD is to ~ PRES PART,1,1
MOD lest ~ MOD should,2,0
?VB ~ MOD must,1,1
MOD let ~ MOD would,2,0
MOD let ~ PRES PART,2,0
MOD let ~ PRES PERF,1,1
MOD is to ~ PRES,2,0
FUT PROG ~ PRES,2,0
PAST PERF ~ PRES,2,0
FUT PERF ~ PRES,0,1
FUT PROG ~ MOD shall,1,0
?VB,1,0
HAB used to ~ PRES,1,0
FUT going-to ~ MOD lest,1,0
?VB ~ IMPV,0,1
FUT ~ MOD,1,0
?VB ~ MOD let,0,1
FUT ~ PRES shall,1,0
IMPV ~ MOD,1,0
IMPV ~ MOD need not,1,0
MOD lest ~ MOD that be,1,0
IMPV ~ MOD should,1,0
MOD might ~ MOD would,1,0
MOD must ~ MOD should,1,0
MOD must ~ PRES PART,1,0
MOD must ~ PRES shall,1,0
MOD must ~ TO INF,1,0
MOD need not ~ MOD shall,1,0
MOD need not ~ PRES,1,0
MOD quest must ~ MOD shall,1,0
MOD should ~ PAST,1,0
MOD should ~ PRES PART,0,1
MOD that be,1,0
MOD that be ~ TO INF,1,0
MOD was to ~ PRES,1,0
MOD would ~ PRES PART,1,0
MOD would ~ TO INF,0,1
MOD ~ PRES,1,0
PRES PART ~ PRES PERF,1,0
PRES PART ~ PRES PROG,1,0
PRES ~ PRES can,1,0
PRES ~ PRES shall,1,0
MOD might ~ TO INF,0,1
MOD may ~ PRES PERF,1,0
IMPV ~ PAST,1,0
MOD may ~ PAST,1,0
MOD VB ~ MOD may,1,0
MOD can ~ MOD lest,1,0
MOD can ~ MOD must,1,0
MOD can ~ PAST,1,0
MOD can ~ PRES PART,1,0
MOD could ~ MOD shall,1,0
MOD could ~ PAST PERF,1,0
MOD could ~ PRES PERF,1,0
MOD could ~ TO INF,1,0
MOD is to ~ MOD should,1,0
MOD is to ~ PRES PROG,1,0
MOD is to ~ TO INF,1,0
MOD lest ~ MOD let,1,0
MOD lest ~ MOD must,1,0
MOD lest ~ MOD shall,1,0
MOD let ~ MOD that be,1,0
MOD let ~ VB,1,0
MOD may ~ MOD might,1,0
MOD may ~ MOD would,1,0
??VB ~ MOD let,0,1
