bhsa_node,ref,book,book_super,canon_part,period,genre,domain2,text_full,text_plain,lex,lex_etcbc,gloss,verb_form,stem,person,gender,number,valence,clause_atom,clause,sentence,txt_type,clause_type,cltype_simp,clause_rela,cl_args,is_question,prec_lexes,prec_pos,prec_part,ref_sbl,ref_abbr,has_objc,objc_pos,has_loca,loca_type,loca_heads,has_time
4997,Genesis 11:3,Genesis,Genesis,Law,SBH,prose,Q,נִלְבְּנָ֣ה,נלבנה,לבן,LBN=[,make brick,cohoF,qal,p1,unknown,pl,d-,נִלְבְּנָ֣ה לְבֵנִ֔ים ,נִלְבְּנָ֣ה לְבֵנִ֔ים ,נִלְבְּנָ֣ה לְבֵנִ֔ים ,NQ,ZYq0,Ø,Main,V,0,Ø,Ø,Ø,Gen 11:3,Gen. 11:3,1,VO,0,,,0
5000,Genesis 11:3,Genesis,Genesis,Law,SBH,prose,Q,נִשְׂרְפָ֖ה,נשׂרפה,שׂרף,FRP[,burn,cohoF,qal,p1,unknown,pl,--,וְנִשְׂרְפָ֖ה לִשְׂרֵפָ֑ה ,וְנִשְׂרְפָ֖ה לִשְׂרֵפָ֑ה ,וְנִשְׂרְפָ֖ה לִשְׂרֵפָ֑ה ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 11:3,Gen. 11:3,0,,0,,,0
5086,Genesis 11:7,Genesis,Genesis,Law,SBH,prose,Q,נֵֽרְדָ֔ה,נרדה,ירד,JRD[,descend,cohoF,qal,p1,unknown,pl,--,נֵֽרְדָ֔ה ,נֵֽרְדָ֔ה ,נֵֽרְדָ֔ה ,NQ,ZYq0,Ø,Main,V,0,Ø,Ø,Ø,Gen 11:7,Gen. 11:7,0,,0,,,0
5088,Genesis 11:7,Genesis,Genesis,Law,SBH,prose,Q,נָבְלָ֥ה,נבלה,בלל,BLL[,"moisten, confound",cohoF,qal,p1,unknown,pl,dp,וְנָבְלָ֥ה שָׁ֖ם שְׂפָתָ֑ם ,וְנָבְלָ֥ה שָׁ֖ם שְׂפָתָ֑ם ,וְנָבְלָ֥ה שָׁ֖ם שְׂפָתָ֑ם אֲשֶׁר֙ לֹ֣א יִשְׁמְע֔וּ אִ֖ישׁ שְׂפַ֥ת רֵעֵֽהוּ׃ ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 11:7,Gen. 11:7,1,VO,1,AdvP,CM,0
5513,Genesis 12:2,Genesis,Genesis,Law,SBH,prose,Q,אֲגַדְּלָ֖ה,אגדלה,גדל,GDL[,be strong,cohoF,piel,p1,unknown,sg,,וַאֲגַדְּלָ֖ה שְׁמֶ֑ךָ ,וַאֲגַדְּלָ֖ה שְׁמֶ֑ךָ ,וַאֲגַדְּלָ֖ה שְׁמֶ֑ךָ ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 12:2,Gen. 12:2,1,VO,0,,,0
5519,Genesis 12:3,Genesis,Genesis,Law,SBH,prose,Q,אֲבָֽרֲכָה֙,אברכה,ברך,BRK[,bless,cohoF,piel,p1,unknown,sg,,וַאֲבָֽרֲכָה֙ מְבָ֣רְכֶ֔יךָ ,וַאֲבָֽרֲכָה֙ מְבָ֣רְכֶ֔יךָ ,וַאֲבָֽרֲכָה֙ מְבָ֣רְכֶ֔יךָ ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 12:3,Gen. 12:3,1,VO,0,,,0
6032,Genesis 13:9,Genesis,Genesis,Law,SBH,prose,Q,אֵימִ֔נָה,אימנה,ימן,JMN[,go to right,cohoF,hif,p1,unknown,sg,,וְאֵימִ֔נָה ,וְאֵימִ֔נָה ,וְאֵימִ֔נָה ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 13:9,Gen. 13:9,0,,0,,,0
6038,Genesis 13:9,Genesis,Genesis,Law,SBH,prose,Q,אַשְׂמְאִֽילָה,אשׂמאילה,שׂמאל,FM>L[,turn left,cohoF,hif,p1,unknown,sg,,וְאַשְׂמְאִֽילָה׃ ,וְאַשְׂמְאִֽילָה׃ ,וְאַשְׂמְאִֽילָה׃ ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 13:9,Gen. 13:9,0,,0,,,0
7351,Genesis 17:2,Genesis,Genesis,Law,SBH,prose,Q,אֶתְּנָ֥ה,אתנה,נתן,NTN[,give,cohoF,qal,p1,unknown,sg,dp,וְאֶתְּנָ֥ה בְרִיתִ֖י בֵּינִ֣י וּבֵינֶ֑ךָ ,וְאֶתְּנָ֥ה בְרִיתִ֖י בֵּינִ֣י וּבֵינֶ֑ךָ ,וְאֶתְּנָ֥ה בְרִיתִ֖י בֵּינִ֣י וּבֵינֶ֑ךָ ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 17:2,Gen. 17:2,1,VO,0,,,0
7870,Genesis 18:5,Genesis,Genesis,Law,SBH,prose,Q,אֶקְחָ֨ה,אקחה,לקח,LQX[,take,cohoF,qal,p1,unknown,sg,d-,וְאֶקְחָ֨ה פַת־לֶ֜חֶם ,וְאֶקְחָ֨ה פַת־לֶ֜חֶם ,וְאֶקְחָ֨ה פַת־לֶ֜חֶם ,NQ,WYq0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 18:5,Gen. 18:5,1,VO,0,,,0
8162,Genesis 18:21,Genesis,Genesis,Law,SBH,prose,Q,אֵֽרֲדָה,ארדה,ירד,JRD[,descend,cohoF,qal,p1,unknown,sg,--,אֵֽרֲדָה־נָּ֣א ,אֵֽרֲדָה־נָּ֣א ,אֵֽרֲדָה־נָּ֣א ,NQ,ZYq0,Ø,Main,V,0,Ø,Ø,Ø,Gen 18:21,Gen. 18:21,0,,0,,,0
