genre,domain2,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
prose,Q,1.87,1.26,5.74,27.28,209.82,121.05,256.67,772.0,192.25,462.8,1158.5,inf,inf,2318.0
prophetic,Q,2.81,2.18,1.66,63.59,55.31,365.0,365.0,198.64,438.2,inf,1097.0,inf,1097.0,inf
prose,N,0.42,408.8,340.5,2.83,inf,112.83,88.09,291.71,inf,340.5,2048.0,1023.5,inf,inf
poetry,Q,2.18,2.79,1.63,63.84,179.11,107.07,179.11,201.62,1620.0,inf,inf,inf,inf,inf
instruction,Q,2.42,0.94,4.58,inf,69.67,inf,inf,inf,inf,inf,inf,inf,inf,inf
list,N,0.13,151.0,151.0,11.67,inf,151.0,75.0,151.0,inf,inf,inf,inf,inf,inf
prophetic,N,0.98,29.25,6.12,2.46,inf,120.0,120.0,120.0,inf,120.0,inf,inf,inf,inf
instruction,N,0.12,inf,81.0,9.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
poetry,N,0.6,5.0,7.0,11.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
list,Q,2.0,1.14,inf,6.5,inf,inf,14.0,inf,inf,inf,inf,inf,inf,inf
