eng_TAM,RV,V,CV,AV,_W_SV,SV,_W_AV,_W_OV,OV,CAV,_W_V,QV,CSV,COV,IV,_W_CV,SAV,_W_SAV,ASV,_W_RV,QAV,ISV,_W_IV,OAV,_W_OAV,_W_QV,AOV,RSV,_W_SOV,IAV,IOV,IIV,_W_ASV,_W_CAV,CIV,CQV,_W_ISV,QSV,RAV,CSAV,SOV,CASV,QOV,_W_AOV,ACAV,OSV,ARV,COAV,_W_COV,CISV,_W_IAV,CAOV,_W_OSV,_W_QAV,ACSV,ACV,_W_QSV,ASAV,ASOV,IIAV,OASV,CIAV,_W_ACV,SAOV,CSOV,ROV,_W_CSV
PAST..IND,0.03,-0.09,-0.02,-0.02,0.09,-0.0,0.06,0.04,-0.0,-0.01,-0.01,-0.03,-0.02,-0.01,-0.01,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
PRES.PERF.IND,0.0,0.06,0.03,-0.08,-0.07,0.01,-0.03,-0.02,0.01,-0.0,-0.0,0.04,0.02,0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
PRES..IND,-0.16,0.13,-0.05,0.18,-0.05,0.02,-0.04,-0.03,0.0,0.02,-0.02,-0.01,-0.0,-0.01,0.0,-0.0,0.0,0.01,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.01,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
PAST.PERF.IND,0.3,-0.15,0.12,-0.12,-0.01,-0.05,-0.04,-0.03,-0.03,-0.01,-0.01,0.02,0.0,0.01,-0.01,0.01,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT..IND,-0.17,0.09,-0.04,0.05,-0.03,0.04,0.01,-0.02,0.0,-0.03,-0.01,0.02,-0.0,0.02,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.03,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PAST..SUBJ,-0.12,0.0,-0.1,-0.05,-0.06,-0.04,-0.03,-0.02,-0.01,0.06,0.42,-0.0,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES..MOD,-0.14,-0.1,-0.06,-0.07,-0.04,-0.04,-0.05,0.0,-0.01,-0.01,0.47,0.05,0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES..,-0.05,0.03,-0.0,0.12,-0.03,-0.06,-0.01,-0.0,0.0,-0.03,0.1,-0.02,-0.02,-0.01,-0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES.PROG.IND,-0.06,0.01,-0.02,-0.13,-0.09,-0.0,-0.04,-0.03,0.03,-0.03,0.09,-0.02,-0.02,-0.01,0.22,-0.0,-0.0,-0.0,0.05,-0.0,-0.0,0.05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST.PROG.IND,-0.17,-0.16,0.18,-0.13,0.37,0.09,-0.04,-0.03,-0.03,-0.03,0.05,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
