,sum
PRES,1973
PAST,942
PRES PART,419
PRES PROG,295
PAST PROG,196
FUT,195
PRES PERF,80
MOD shall,79
TO INF,73
PAST PERF,66
PRES question,38
PRES wh-question,23
PRES do not,22
MOD is to,16
MOD could,15
MOD may,14
MOD should,12
IMPV,11
MOD can,11
PRES PERF PROG,9
MOD was to,8
MOD would,8
PAST did not,7
MOD let,7
FUT question,4
FUT going-to,3
PRES PERF question,3
MOD must,3
VB,2
PAST PROG keep,2
PRES PROG keep,2
FUT wh-question,2
PRES PERF wh-question,1
PAST PERF PROG,1
IMPV do not,1
MOD might,1
MOD quest should,1
MOD that VB,1
MOD quest would,1
HAB used to,1
PAST wh-question,1
MOD quest shall,1
