bhsa_node,esv_tags,esv_VBtags,esv_TAM,esv_TAMsimp,niv_tags,niv_VBtags,niv_TAM,niv_TAMsimp,eng_fullparse,eng_TAM,eng_TAMsimp,eng_agree,eng_simp_agree
35,VB|EX|VB,VB|VB,MOD let,MOD let,VB|EX|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1
82,VB|EX|VB,VB|VB,MOD let,MOD let,VB|EX|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1
89,,,,,,,,,0,,,0,
143,VB|VB|VBN|RB,VB|VB|VBN,MOD let,MOD let,VB|VB|VBN,VB|VB|VBN,MOD let,MOD let,1,MOD let,MOD let,1,1
154,VB|VB,VB|VB,MOD let,MOD let,VB|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1
182,VB|IN,VB,IMPV,IMPV,VB|VB,VB|VB,MOD let,MOD let,1,IMPV ~ MOD let,IMPV ~ MOD let,0,
239,VB|EX|VB,VB|VB,MOD let,MOD let,VB|EX|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1
363,VB|VB,VB|VB,MOD let,MOD let,VB|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1
371,VB|VB,VB|VB,MOD let,MOD let,VB|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1
434,VB|VB,VB|VB,MOD let,MOD let,VB|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1
449,VB|VB|RB,VB|VB,MOD let,MOD let,VB|NN,VB,IMPV,IMPV,1,IMPV ~ MOD let,IMPV ~ MOD let,0,
498,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1
505,VB|PRP|VB|NN,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1
619,,,,,PRP|MD|VB,VB,FUT,FUT,0,,,0,
751,VBD,VBD,PAST,PAST,VBD|VBN,VBD|VBN,PAST PERF,PAST PERF,1,PAST ~ PAST PERF,PAST ~ PAST PERF,0,
761,VBD|VBN|RP,VBD|VBN,PAST PERF,PAST PERF,VBD|VBN|RP,VBD|VBN,PAST PERF,PAST PERF,1,PAST PERF,PAST PERF,1,1
780,VBD|VBG|RP,VBD|VBG,PAST PROG,PAST PROG,VBD|RP,VBD,PAST,PAST,1,PAST ~ PAST PROG,PAST ~ PAST PROG,0,
876,PRP|VBD,VBD,PAST,PAST,PRP|VBD|VBN,VBD|VBN,PAST,PAST,1,PAST,PAST,1,1
977,PRP|MD|RB|VB,VB,MOD may,MOD may,PRP|VBP|JJ|TO|VB,VBP|VB,PRES,PRES,1,MOD may ~ PRES,MOD may ~ PRES,0,
987,PRP|MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,
995,PRP|MD|RB|VB,VB,MOD shall,MOD shall,PRP|MD|RB|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
1007,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
1037,PRP|MD|VB,VB,MOD would,MOD would,PRP|MD|VB,VB,MOD would,MOD would,1,MOD would,MOD would,1,1
1042,VBD,VBD,PAST,PAST,VBD,VBD,PAST,PAST,1,PAST,PAST,1,1
1132,PRP|MD|VB|VBN,VB|VBN,MOD shall,MOD shall,PRP|MD|VB|VBN,VB|VBN,MOD shall,MOD shall,1,MOD shall,MOD shall,1,1
1141,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
1167,VBD|JJ,VBD,PAST,PAST,VBD|NN,VBD,PAST,PAST,1,PAST,PAST,1,1
1192,PRP|MD|VB,VB,MOD shall,MOD shall,VB,VB,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,
1210,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,MOD may,MOD may,1,MOD may,MOD may,1,1
1224,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,
1228,MD|PRP|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,
1231,PRP|VBP,VBP,MOD lest,MOD lest,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD lest,FUT ~ MOD lest,0,
1241,PRP|MD|RB|VB,VB,FUT,FUT,PRP|MD|RB|VB,VB,FUT,FUT,1,FUT,FUT,1,1
1449,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
1452,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
1458,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
1471,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
1475,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
1482,PRP|MD|RB|VB,VB,FUT,FUT,PRP|MD|RB|VB,VB,FUT,FUT,1,FUT,FUT,1,1
1488,PRP|MD|VB|RP,VB,MOD shall,MOD shall,PRP|MD|VB|NN|IN,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
1496,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
1517,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,
1526,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
1534,PRP|MD|VB|RB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
