eng_TAMsimp,0,1
PAST,-0.0,0.0
PAST ~ PRES PART,0.01,-0.01
PRES,0.03,-0.03
PAST ~ PAST PERF,-0.02,0.02
PRES PERF,0.0,-0.0
PAST ~ PRES PERF,0.0,-0.0
PAST ~ PRES,-0.05,0.05
PAST ~ TO INF,0.01,-0.01
PAST PERF,0.04,-0.04
PRES ~ PRES PERF,0.04,-0.04
PAST ~ PAST PROG,-0.08,0.08
PRES PART,0.04,-0.04
FUT ~ PRES,0.04,-0.04
MOD would,0.04,-0.04
MOD could ~ PAST,-0.15,0.15
TO INF,-0.06,0.06
FUT ~ PAST,0.04,-0.04
MOD let ~ PAST,0.04,-0.04
PRES ~ PRES PART,0.04,-0.04
PRES ~ TO INF,0.04,-0.04
PRES PART ~ PRES PERF,0.04,-0.04
PAST PROG,0.04,-0.04
PRES ~ PRES PROG,0.04,-0.04
MOD would ~ PAST,0.04,-0.04
IMPV ~ PAST,0.04,-0.04
FUT ~ PRES PERF,-0.16,0.16
PAST PERF ~ PRES PERF,0.04,-0.04
PAST PERF ~ PRES PART,0.04,-0.04
PRES PERF ~ TO INF,0.04,-0.04
PAST ~ VB,0.04,-0.04
MOD let,0.04,-0.04
FUT ~ MOD shall,0.04,-0.04
FUT,0.04,-0.04
PRES PERF ~ PRES PROG,0.04,-0.04
MOD may ~ PAST,0.04,-0.04
MOD can ~ PRES,0.04,-0.04
PRES PERF PROG,0.04,-0.04
MOD is to ~ PRES PERF,0.04,-0.04
FUT ~ PRES PART,0.04,-0.04
FUT ~ MOD would,0.04,-0.04
PRES PART ~ TO INF,0.04,-0.04
IMPV ~ PRES,0.04,-0.04
IMPV ~ PRES PART,0.04,-0.04
MOD can ~ PAST,0.04,-0.04
MOD could ~ MOD might,0.04,-0.04
MOD might ~ PRES PERF,0.04,-0.04
PAST ~ PAST PERF PROG,0.04,-0.04
MOD let ~ MOD may,0.04,-0.04
MOD must ~ PAST,0.04,-0.04
MOD let ~ PRES,0.04,-0.04
PAST PROG ~ PRES PERF PROG,0.04,-0.04
PAST PROG ~ PRES PERF,0.04,-0.04
PAST PROG ~ PRES PART,0.04,-0.04
MOD let ~ PRES PART,0.04,-0.04
PAST PERF ~ TO INF,0.04,-0.04
MOD may,0.04,-0.04
MOD would ~ PRES,0.04,-0.04
MOD may ~ PRES,0.04,-0.04
MOD should ~ TO INF,0.04,-0.04
MOD should ~ PRES,0.04,-0.04
MOD should ~ MOD would,0.04,-0.04
MOD must ~ PRES,0.04,-0.04
??VB ~ PAST,0.04,-0.04
