period,genre,domain2,PAST..IND,PRES.PERF.IND,PAST.PERF.IND,PRES..IND,PAST..SUBJ,PRES..MOD,FUT..IND,PRES..,PRES.PROG.IND,PAST.PROG.IND,past.PERF_PROG.IND,PRES.PERF_PROG.IND,..
SBH,prose,Q,0.36,0.44,0.04,0.15,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBH,prose,N,0.71,0.0,0.25,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBH,prose,N,0.69,0.0,0.29,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBH,prose,Q,0.32,0.47,0.03,0.15,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0
SBH,instruction,Q,0.28,0.54,0.0,0.17,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
SBH,poetry,Q,0.7,0.12,0.04,0.12,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBH,list,N,0.88,0.01,0.06,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0
SBH,instruction,N,0.89,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBH,list,N,0.88,0.0,0.11,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBH,poetry,Q,0.74,0.15,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBH,prophetic,Q,0.2,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBH,list,Q,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBH,poetry,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBH,list,Q,0.33,0.17,0.33,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
