eng_TAMsimp,SBH,LBH
PAST,8342,1625
PAST ~ PRES PART,139,35
PAST ~ PAST PERF,127,34
PRES PERF,82,29
PAST ~ TO INF,60,10
PAST ~ PRES PERF,52,10
PAST PERF,44,8
PAST ~ PRES,38,6
PRES,23,5
PAST ~ PAST PROG,23,2
PRES PART,17,4
PRES ~ PRES PERF,10,2
MOD could ~ PAST,7,3
MOD would,6,0
PAST PROG,5,0
TO INF,3,2
MOD let ~ PAST,3,1
IMPV ~ PAST,4,0
MOD would ~ PAST,4,0
PAST PERF ~ PRES PART,2,1
PAST PERF ~ PRES PERF,3,0
PRES PART ~ PRES PERF,2,1
FUT ~ PAST,3,0
PAST ~ VB,2,1
PRES ~ PRES PROG,3,0
MOD let,2,0
FUT ~ PRES,2,0
PRES PART ~ TO INF,1,0
PRES PERF PROG,1,0
PRES PERF ~ PRES PROG,1,0
PRES PERF ~ TO INF,0,1
??VB ~ PAST,0,1
PAST ~ PAST PERF PROG,1,0
PAST PROG ~ PRES PERF PROG,1,0
PAST PROG ~ PRES PERF,1,0
PAST PERF ~ TO INF,1,0
MOD should ~ TO INF,0,1
MOD should ~ MOD would,1,0
MOD may ~ PAST,1,0
MOD let ~ PRES PART,1,0
MOD let ~ PRES,1,0
MOD could ~ MOD might,1,0
IMPV ~ PRES PART,1,0
PAST PROG ~ PRES PART,1,0
